feature,coverage,n_missing,zero_rate,mean,std,skew,kurtosis,outlier_rate_3IQR
F_INST_01_foreign,1.0,0,0.0,49321.75496229876,10140249.103957327,1.5308200181496516,65.2332376856158,0.1049928673323823
F_INST_02_trust,1.0,0,0.02714489504789077,183261.02213164867,6066137.392941388,-2.259121185155691,343.18185628270766,0.17155084573058896
F_INST_03_dealer_self,1.0,0,0.012431220705115141,-15572.894681067863,703584.7743270025,-6.3445819401394035,222.52134683265032,0.11864683105767271
F_INST_04_dealer_hedge,1.0,0,0.0010597106174852252,80951.14167515794,689573.6269561403,2.2708452233037515,78.97810509724108,0.12154065620542083
F_INST_05_aggregate,1.0,0,0.0,297977.8173629509,9388090.627710652,0.8549089479602758,24.306213422533656,0.10275117179539434
F_INST_06_value_proxy,1.0,0,0.0,-31273823.421968617,2622652380.064685,-5.434671008036336,157.81491841753913,0.09802323211738333
F_INST_07_flow_to_volume,1.0,0,0.0,-0.004231861436771506,0.23276785091764463,0.05216044863135054,0.04659968019637173,4.075810067250866e-05
F_INST_08_streak,1.0,0,0.0,-0.016588546973711024,4.984897091010376,2.006763816082614,25.855734500818816,0.01952313022213165
F_INST_09_change_rate,0.9816588546973711,450,0.0,0.32945764422309315,222.53401931507105,10.108663878116579,4107.832227978896,0.10462943740917584
F_INT_01_flow_x_momentum,0.9592418993274914,1000,0.0,0.28128297479373526,0.24672192378246977,0.8181174784666093,-0.3214983983793367,0.0
F_INT_02_flow_x_size,1.0,0,0.0,0.26424520050408795,0.23170590397064295,1.0063283503251281,0.1525220105125369,0.0
F_INT_03_flow_x_liquidity,0.9816588546973711,450,0.0,0.26022691363691763,0.22634330457235652,1.0228460134389805,0.35629632164196945,0.0
