feature,horizon,n_days,mean_ic,median_ic,icir,pos_ic_ratio,t_raw,t_nw,ci95_low,ci95_high
F_INST_01_foreign_rank,1,489,0.010575430983119383,-0.001200768526461216,0.05737309429874216,0.49693251533742333,1.2687109928043676,1.2396508007409253,-0.006145281587328031,0.0272961435535668
F_INST_01_foreign_rank,2,488,0.02313995182634588,0.033884452538462825,0.12880847855453856,0.5676229508196722,2.845472295419003,2.6560315953818288,0.006063985690062841,0.04021591796262892
F_INST_01_foreign_rank,3,487,0.014606696126552597,0.008883553421368545,0.08234165710712843,0.5112936344969199,1.817121987412247,1.6508616377973855,-0.002735232326179924,0.031948624579285115
F_INST_01_foreign_rank,5,485,0.029325895592597604,0.032512126164467796,0.15647508911083902,0.5587628865979382,3.4460063774518512,2.7449358142725737,0.008385968668760384,0.05026582251643483
F_INST_02_trust_rank,1,489,-0.0076763785566422915,-0.013493397358943579,-0.042232187354272345,0.4785276073619632,-0.9338949032022771,-0.945185650780513,-0.02359462907027894,0.008241871956994357
F_INST_02_trust_rank,2,488,-0.010367261942879085,-0.006819467196102072,-0.05565452319093164,0.47950819672131145,-1.2294486017665216,-1.0929578925856887,-0.02895885961181665,0.008224335726058482
F_INST_02_trust_rank,3,487,-0.010076545501114692,-0.02156062424969988,-0.05477590221935911,0.46611909650924027,-1.2087988000246828,-0.97160956759748,-0.030403670553023274,0.010250579550793887
F_INST_02_trust_rank,5,485,-0.005386157262613505,-0.007539015606242497,-0.030019644570846226,0.4865979381443299,-0.6611140931621179,-0.460071758933262,-0.028332291272664414,0.01755997674743741
F_INST_03_dealer_self_rank,1,489,0.012643345223981787,0.007732206355907014,0.07216709383533938,0.5194274028629857,1.595855799425598,1.7532156032733681,-0.0014912293216340737,0.026777919769597647
F_INST_03_dealer_self_rank,2,488,0.009735513477563986,0.0211795279823744,0.05523921776344482,0.5327868852459017,1.2202742050085431,1.1282424764824242,-0.007177168692954053,0.026648195648082025
F_INST_03_dealer_self_rank,3,487,0.006278295887813967,0.015222454325019735,0.03567409394020991,0.5462012320328542,0.7872586338094658,0.7133348722875168,-0.010972311671373934,0.02352890344700187
F_INST_03_dealer_self_rank,5,485,0.021313643329331382,0.027613033359702093,0.11434358366631109,0.5422680412371134,2.5181562175414216,2.355269214955642,0.003576927432810708,0.03905035922585205
F_INST_04_dealer_hedge_rank,1,489,0.012750821239024168,0.008787515006002401,0.06987166788975493,0.5255623721881391,1.5450962549748957,1.5241887571826676,-0.0036458419109404207,0.029147484388988756
F_INST_04_dealer_hedge_rank,2,488,0.011169713488026806,0.012341232686214738,0.06382530825013985,0.5389344262295082,1.4099471433121105,1.333728747255574,-0.005244897415113149,0.02758432439116676
F_INST_04_dealer_hedge_rank,3,487,0.011489426015654124,0.009651860744297719,0.06856377220209947,0.5174537987679672,1.5130705694478153,1.4835363042923018,-0.0036900306147817294,0.026668882646089978
F_INST_04_dealer_hedge_rank,5,485,0.00643309374129856,0.00926859726697531,0.03649803816636358,0.5175257731958763,0.8037859125082787,0.7548983005769465,-0.010269637902564717,0.02313582538516184
F_INST_05_aggregate_rank,1,489,0.00013293915002722396,0.0007203573005421225,0.0007055746801906376,0.5010224948875256,0.015602615894152905,0.01535870951757371,-0.016832075635571833,0.017097953935626284
F_INST_05_aggregate_rank,2,488,0.008399461516417689,0.0009124629796690824,0.045620353366548336,0.5040983606557377,1.0077865453303612,0.9370409358159645,-0.009169615716950913,0.025968538749786288
F_INST_05_aggregate_rank,3,487,3.0764625399283615e-05,-0.0033133253301320525,0.00016552237749480354,0.48459958932238195,0.0036527604874801475,0.003347516393243529,-0.017982191458788953,0.01804372070958752
F_INST_05_aggregate_rank,5,485,0.014527337547977278,-0.00014405762304921967,0.07506428555655272,0.49896907216494846,1.6531194084415406,1.3837705985180377,-0.006049470215194969,0.035104145311149526
