date,stock_id,buy,name,sell
2024-07-01,2454,0,Foreign_Dealer_Self,0
2024-07-01,2454,137144,Investment_Trust,368882
2024-07-01,2454,102618,Dealer_self,17300
2024-07-01,2454,146053,Dealer_Hedging,28449
2024-07-01,2454,2495397,Foreign_Investor,2435741
2024-07-02,2454,2900065,Foreign_Investor,2949635
2024-07-02,2454,0,Foreign_Dealer_Self,0
2024-07-02,2454,55000,Dealer_self,50281
2024-07-02,2454,128087,Dealer_Hedging,113041
2024-07-02,2454,506000,Investment_Trust,357264
2024-07-03,2454,2628198,Foreign_Investor,2911938
2024-07-03,2454,0,Foreign_Dealer_Self,0
2024-07-03,2454,810000,Investment_Trust,422645
2024-07-03,2454,64624,Dealer_self,32184
2024-07-03,2454,79143,Dealer_Hedging,118627
2024-07-04,2454,1976777,Foreign_Investor,1349476
2024-07-04,2454,0,Foreign_Dealer_Self,0
2024-07-04,2454,287641,Investment_Trust,3604693
2024-07-04,2454,119259,Dealer_self,692597
2024-07-04,2454,340028,Dealer_Hedging,244302
2024-07-05,2454,0,Foreign_Dealer_Self,0
2024-07-05,2454,108000,Dealer_self,167319
2024-07-05,2454,285227,Dealer_Hedging,241459
2024-07-05,2454,1511052,Foreign_Investor,2826696
2024-07-05,2454,100055,Investment_Trust,1887555
2024-07-08,2454,0,Foreign_Dealer_Self,0
2024-07-08,2454,16000,Dealer_self,193647
2024-07-08,2454,229208,Dealer_Hedging,81446
2024-07-08,2454,4421744,Foreign_Investor,3046831
2024-07-08,2454,147000,Investment_Trust,70808
2024-07-09,2454,4895145,Foreign_Investor,3626058
2024-07-09,2454,0,Foreign_Dealer_Self,0
2024-07-09,2454,1624000,Investment_Trust,51340
2024-07-09,2454,68100,Dealer_self,137000
2024-07-09,2454,157276,Dealer_Hedging,252240
2024-07-10,2454,0,Foreign_Dealer_Self,0
2024-07-10,2454,59000,Dealer_self,97136
2024-07-10,2454,63963,Dealer_Hedging,109487
2024-07-10,2454,2334891,Foreign_Investor,3422569
2024-07-10,2454,283000,Investment_Trust,194300
2024-07-11,2454,0,Foreign_Dealer_Self,0
2024-07-11,2454,280000,Investment_Trust,265000
2024-07-11,2454,17000,Dealer_self,32200
2024-07-11,2454,92236,Dealer_Hedging,66124
2024-07-11,2454,2424532,Foreign_Investor,2380641
2024-07-12,2454,1974288,Foreign_Investor,4188583
2024-07-12,2454,0,Foreign_Dealer_Self,0
2024-07-12,2454,827996,Investment_Trust,20000
2024-07-12,2454,93000,Dealer_self,254768
2024-07-12,2454,432697,Dealer_Hedging,436751
2024-07-15,2454,0,Foreign_Dealer_Self,0
2024-07-15,2454,409999,Investment_Trust,231000
2024-07-15,2454,49000,Dealer_self,45995
2024-07-15,2454,132314,Dealer_Hedging,113631
2024-07-15,2454,1567738,Foreign_Investor,1325243
2024-07-16,2454,0,Foreign_Dealer_Self,0
2024-07-16,2454,31000,Dealer_self,25999
2024-07-16,2454,201038,Dealer_Hedging,143301
2024-07-16,2454,2530424,Foreign_Investor,3275738
