date,stock_id,buy,name,sell
2024-08-01,2885,139000,Dealer_Hedging,135148
2024-08-01,2885,2335121,Investment_Trust,0
2024-08-02,2885,4172040,Foreign_Investor,12855773
2024-08-02,2885,0,Foreign_Dealer_Self,0
2024-08-02,2885,2941189,Investment_Trust,21000
2024-08-02,2885,295000,Dealer_self,868342
2024-08-02,2885,1420000,Dealer_Hedging,255645
2024-08-05,2885,12091126,Foreign_Investor,20941790
2024-08-05,2885,0,Foreign_Dealer_Self,0
2024-08-05,2885,5667358,Investment_Trust,30000
2024-08-05,2885,664000,Dealer_self,1969302
2024-08-05,2885,1323000,Dealer_Hedging,202026
2024-08-06,2885,19514100,Foreign_Investor,15860927
2024-08-06,2885,0,Foreign_Dealer_Self,0
2024-08-06,2885,4092320,Investment_Trust,0
2024-08-06,2885,357901,Dealer_self,311861
2024-08-06,2885,1029000,Dealer_Hedging,112481
2024-08-07,2885,11520228,Foreign_Investor,11164300
2024-08-07,2885,0,Foreign_Dealer_Self,0
2024-08-07,2885,1420083,Investment_Trust,195519
2024-08-07,2885,23923,Dealer_self,67957
2024-08-07,2885,199999,Dealer_Hedging,57000
2024-08-08,2885,12411446,Foreign_Investor,13761238
2024-08-08,2885,0,Foreign_Dealer_Self,0
2024-08-08,2885,2009564,Investment_Trust,10605
2024-08-08,2885,152000,Dealer_self,212086
2024-08-08,2885,371000,Dealer_Hedging,33350
2024-08-09,2885,22984914,Foreign_Investor,11326033
2024-08-09,2885,0,Foreign_Dealer_Self,0
2024-08-09,2885,1678800,Investment_Trust,10086
2024-08-09,2885,250453,Dealer_self,670283
2024-08-09,2885,214000,Dealer_Hedging,169000
2024-08-12,2885,8738949,Foreign_Investor,10262050
2024-08-12,2885,0,Foreign_Dealer_Self,0
2024-08-12,2885,1328906,Investment_Trust,8259
2024-08-12,2885,236000,Dealer_self,112279
2024-08-12,2885,375374,Dealer_Hedging,248990
2024-08-13,2885,8160880,Foreign_Investor,10590734
2024-08-13,2885,0,Foreign_Dealer_Self,0
2024-08-13,2885,1500130,Investment_Trust,0
2024-08-13,2885,73074,Dealer_self,120342
2024-08-13,2885,273000,Dealer_Hedging,39006
2024-08-14,2885,13932608,Foreign_Investor,8987480
2024-08-14,2885,0,Foreign_Dealer_Self,0
2024-08-14,2885,619846,Investment_Trust,353
2024-08-14,2885,132000,Dealer_self,259960
2024-08-14,2885,74000,Dealer_Hedging,112000
2024-08-15,2885,4271573,Foreign_Investor,12170620
2024-08-15,2885,0,Foreign_Dealer_Self,0
2024-08-15,2885,199372,Investment_Trust,905000
2024-08-15,2885,93000,Dealer_self,93672
2024-08-15,2885,343000,Dealer_Hedging,88000
2024-08-16,2885,11634020,Foreign_Investor,6504000
2024-08-16,2885,0,Foreign_Dealer_Self,0
2024-08-16,2885,905070,Investment_Trust,48866
2024-08-16,2885,193479,Dealer_self,159000
2024-08-16,2885,974000,Dealer_Hedging,128000
2024-08-19,2885,3284000,Foreign_Investor,5971360
2024-08-19,2885,0,Foreign_Dealer_Self,0
2024-08-19,2885,179984,Investment_Trust,119798
2024-08-19,2885,43000,Dealer_self,105260
2024-08-19,2885,190000,Dealer_Hedging,450983
2024-08-20,2885,6843126,Foreign_Investor,4790065
2024-08-20,2885,0,Foreign_Dealer_Self,0
2024-08-20,2885,385068,Investment_Trust,163177
2024-08-20,2885,135000,Dealer_self,86292
2024-08-20,2885,30000,Dealer_Hedging,109000
2024-08-21,2885,6812220,Foreign_Investor,6578174
2024-08-21,2885,0,Foreign_Dealer_Self,0
2024-08-21,2885,633870,Investment_Trust,36089
2024-08-21,2885,1000,Dealer_self,782924
2024-08-21,2885,387000,Dealer_Hedging,81000
2024-08-22,2885,5356890,Foreign_Investor,9702115
2024-08-22,2885,0,Foreign_Dealer_Self,0
2024-08-22,2885,692031,Investment_Trust,89
2024-08-22,2885,46000,Dealer_self,235702
2024-08-22,2885,60000,Dealer_Hedging,174000
2024-08-23,2885,0,Foreign_Dealer_Self,0
2024-08-23,2885,777269,Investment_Trust,15089
2024-08-23,2885,100092,Dealer_self,129751
2024-08-23,2885,225000,Dealer_Hedging,0
2024-08-23,2885,12773120,Foreign_Investor,18679849
2024-08-26,2885,12023633,Foreign_Investor,3549956
2024-08-26,2885,0,Foreign_Dealer_Self,0
2024-08-26,2885,280000,Investment_Trust,4089
2024-08-26,2885,53896,Dealer_self,31000
2024-08-26,2885,87554,Dealer_Hedging,97630
2024-08-27,2885,5499000,Foreign_Investor,6419615
2024-08-27,2885,0,Foreign_Dealer_Self,0
2024-08-27,2885,774000,Investment_Trust,89
2024-08-27,2885,1440,Dealer_self,174761
2024-08-27,2885,161000,Dealer_Hedging,112000
2024-08-28,2885,3684897,Foreign_Investor,4105150
2024-08-28,2885,0,Foreign_Dealer_Self,0
2024-08-28,2885,821914,Investment_Trust,89
2024-08-28,2885,5000,Dealer_self,2778
2024-08-28,2885,47000,Dealer_Hedging,30000
2024-08-29,2885,7000548,Foreign_Investor,8285289
2024-08-29,2885,0,Foreign_Dealer_Self,0
2024-08-29,2885,757278,Investment_Trust,4000
2024-08-29,2885,7000,Dealer_self,205258
2024-08-29,2885,179000,Dealer_Hedging,72000
2024-08-30,2885,20869660,Foreign_Investor,19675498
2024-08-30,2885,0,Foreign_Dealer_Self,0
2024-08-30,2885,289275,Investment_Trust,5600
2024-08-30,2885,52000,Dealer_self,66000
2024-08-30,2885,42000,Dealer_Hedging,70903
2024-09-02,2885,3007000,Foreign_Investor,5571000
2024-09-02,2885,0,Foreign_Dealer_Self,0
2024-09-02,2885,705275,Investment_Trust,16177
2024-09-02,2885,6000,Dealer_self,57727
2024-09-02,2885,64000,Dealer_Hedging,54000
2024-09-03,2885,0,Foreign_Dealer_Self,0
2024-09-03,2885,304637,Investment_Trust,10000
2024-09-03,2885,149000,Dealer_self,81424
2024-09-03,2885,180000,Dealer_Hedging,10527
2024-09-03,2885,4792030,Foreign_Investor,11942560
2024-09-04,2885,11955033,Foreign_Investor,28235360
2024-09-04,2885,0,Foreign_Dealer_Self,0
2024-09-04,2885,3321888,Investment_Trust,0
2024-09-04,2885,309000,Dealer_self,612989
2024-09-04,2885,1808000,Dealer_Hedging,144000
2024-09-05,2885,7581733,Foreign_Investor,9632579
2024-09-05,2885,0,Foreign_Dealer_Self,0
2024-09-05,2885,1825277,Investment_Trust,580589
2024-09-05,2885,11000,Dealer_self,223074
2024-09-05,2885,424000,Dealer_Hedging,106000
2024-09-06,2885,0,Foreign_Dealer_Self,0
2024-09-06,2885,1198601,Investment_Trust,9089
2024-09-06,2885,4000,Dealer_self,42526
2024-09-06,2885,275000,Dealer_Hedging,50997
2024-09-06,2885,5521100,Foreign_Investor,6959896
2024-09-09,2885,12097461,Foreign_Investor,41009224
2024-09-09,2885,0,Foreign_Dealer_Self,0
2024-09-09,2885,2316946,Investment_Trust,177
