batch_id,dataset,stock_id,http_status,error,queued_at
8,TaiwanStockPrice,6782,-1,unknown,2026-08-01T17:27:46.121542
8,TaiwanStockPER,6782,-1,unknown,2026-08-01T17:27:51.033854
8,TaiwanStockInstitutionalInvestorsBuySell,6789,-1,unknown,2026-08-01T17:27:55.952745
8,TaiwanStockPrice,6789,-1,unknown,2026-08-01T17:28:00.860325
8,TaiwanStockPER,6789,-1,unknown,2026-08-01T17:28:05.770329
8,TaiwanStockInstitutionalInvestorsBuySell,6790,-1,unknown,2026-08-01T17:28:10.683910
8,TaiwanStockPrice,6790,-1,unknown,2026-08-01T17:28:15.592729
8,TaiwanStockPER,6790,-1,unknown,2026-08-01T17:28:20.507893
8,TaiwanStockInstitutionalInvestorsBuySell,6792,-1,unknown,2026-08-01T17:28:25.423827
8,TaiwanStockPrice,6792,-1,unknown,2026-08-01T17:28:30.342075
8,TaiwanStockPER,6792,-1,unknown,2026-08-01T17:28:35.250320
8,TaiwanStockInstitutionalInvestorsBuySell,6794,-1,unknown,2026-08-01T17:28:40.159358
8,TaiwanStockPrice,6794,-1,unknown,2026-08-01T17:28:45.077525
8,TaiwanStockPER,6794,-1,unknown,2026-08-01T17:28:49.989875
8,TaiwanStockInstitutionalInvestorsBuySell,6796,-1,unknown,2026-08-01T17:28:54.904074
8,TaiwanStockPrice,6796,-1,unknown,2026-08-01T17:28:59.820682
8,TaiwanStockPER,6796,-1,unknown,2026-08-01T17:29:04.729045
8,TaiwanStockInstitutionalInvestorsBuySell,6799,-1,unknown,2026-08-01T17:29:09.635983
8,TaiwanStockPrice,6799,-1,unknown,2026-08-01T17:29:14.548618
8,TaiwanStockPER,6799,-1,unknown,2026-08-01T17:29:19.456108
8,TaiwanStockInstitutionalInvestorsBuySell,6805,-1,unknown,2026-08-01T17:29:24.364000
8,TaiwanStockPrice,6805,-1,unknown,2026-08-01T17:29:29.272044
8,TaiwanStockPER,6805,-1,unknown,2026-08-01T17:29:34.178185
8,TaiwanStockInstitutionalInvestorsBuySell,6807,-1,unknown,2026-08-01T17:29:39.088168
8,TaiwanStockPrice,6807,-1,unknown,2026-08-01T17:29:44.009417
8,TaiwanStockPER,6807,-1,unknown,2026-08-01T17:29:48.925466
8,TaiwanStockInstitutionalInvestorsBuySell,6830,-1,unknown,2026-08-01T17:29:53.837446
8,TaiwanStockPrice,6830,-1,unknown,2026-08-01T17:29:58.754145
8,TaiwanStockPER,6830,-1,unknown,2026-08-01T17:30:03.664047
8,TaiwanStockInstitutionalInvestorsBuySell,6831,-1,unknown,2026-08-01T17:30:08.575648
8,TaiwanStockPrice,6831,-1,unknown,2026-08-01T17:30:13.485551
8,TaiwanStockPER,6831,-1,unknown,2026-08-01T17:30:18.396486
8,TaiwanStockInstitutionalInvestorsBuySell,6834,-1,unknown,2026-08-01T17:30:23.308502
8,TaiwanStockPrice,6834,-1,unknown,2026-08-01T17:30:28.216026
8,TaiwanStockPER,6834,-1,unknown,2026-08-01T17:30:33.130040
8,TaiwanStockInstitutionalInvestorsBuySell,6835,-1,unknown,2026-08-01T17:30:38.045386
8,TaiwanStockPrice,6835,-1,unknown,2026-08-01T17:30:42.957788
8,TaiwanStockPER,6835,-1,unknown,2026-08-01T17:30:47.874619
8,TaiwanStockInstitutionalInvestorsBuySell,6838,-1,unknown,2026-08-01T17:30:52.785352
8,TaiwanStockPrice,6838,-1,unknown,2026-08-01T17:30:57.695815
8,TaiwanStockPER,6838,-1,unknown,2026-08-01T17:31:02.611328
8,TaiwanStockInstitutionalInvestorsBuySell,6854,-1,unknown,2026-08-01T17:31:07.518390
8,TaiwanStockPrice,6854,-1,unknown,2026-08-01T17:31:12.428605
8,TaiwanStockPER,6854,-1,unknown,2026-08-01T17:31:17.339345
8,TaiwanStockInstitutionalInvestorsBuySell,6861,-1,unknown,2026-08-01T17:31:22.247573
8,TaiwanStockPrice,6861,-1,unknown,2026-08-01T17:31:27.156361
8,TaiwanStockPER,6861,-1,unknown,2026-08-01T17:31:32.067464
8,TaiwanStockInstitutionalInvestorsBuySell,6862,-1,unknown,2026-08-01T17:31:36.976623
8,TaiwanStockPrice,6862,-1,unknown,2026-08-01T17:31:41.886451
8,TaiwanStockPER,6862,-1,unknown,2026-08-01T17:31:46.795892
8,TaiwanStockInstitutionalInvestorsBuySell,6863,-1,unknown,2026-08-01T17:31:51.707413
8,TaiwanStockPrice,6863,-1,unknown,2026-08-01T17:31:56.622186
8,TaiwanStockPER,6863,-1,unknown,2026-08-01T17:32:01.535223
8,TaiwanStockInstitutionalInvestorsBuySell,6869,-1,unknown,2026-08-01T17:32:06.447144
8,TaiwanStockPrice,6869,-1,unknown,2026-08-01T17:32:11.360915
8,TaiwanStockPER,6869,-1,unknown,2026-08-01T17:32:16.274715
8,TaiwanStockInstitutionalInvestorsBuySell,6873,-1,unknown,2026-08-01T17:32:21.194834
8,TaiwanStockPrice,6873,-1,unknown,2026-08-01T17:32:26.108311
8,TaiwanStockPER,6873,-1,unknown,2026-08-01T17:32:31.024256
8,TaiwanStockInstitutionalInvestorsBuySell,6885,-1,unknown,2026-08-01T17:32:35.941136
8,TaiwanStockPrice,6885,-1,unknown,2026-08-01T17:32:40.857975
8,TaiwanStockPER,6885,-1,unknown,2026-08-01T17:32:45.772541
8,TaiwanStockInstitutionalInvestorsBuySell,6887,-1,unknown,2026-08-01T17:32:50.704960
8,TaiwanStockPrice,6887,-1,unknown,2026-08-01T17:32:55.621648
8,TaiwanStockPER,6887,-1,unknown,2026-08-01T17:33:00.532476
8,TaiwanStockInstitutionalInvestorsBuySell,6890,-1,unknown,2026-08-01T17:33:05.451282
8,TaiwanStockPrice,6890,-1,unknown,2026-08-01T17:33:10.363839
8,TaiwanStockPER,6890,-1,unknown,2026-08-01T17:33:15.272404
8,TaiwanStockInstitutionalInvestorsBuySell,6901,-1,unknown,2026-08-01T17:33:20.189516
8,TaiwanStockPrice,6901,-1,unknown,2026-08-01T17:33:25.099776
8,TaiwanStockPER,6901,-1,unknown,2026-08-01T17:33:30.009801
8,TaiwanStockInstitutionalInvestorsBuySell,6902,-1,unknown,2026-08-01T17:33:34.920229
8,TaiwanStockPrice,6902,-1,unknown,2026-08-01T17:33:39.826896
8,TaiwanStockPER,6902,-1,unknown,2026-08-01T17:33:44.735848
8,TaiwanStockInstitutionalInvestorsBuySell,6906,-1,unknown,2026-08-01T17:33:49.649345
8,TaiwanStockPrice,6906,-1,unknown,2026-08-01T17:33:54.558779
8,TaiwanStockPER,6906,-1,unknown,2026-08-01T17:33:59.477024
8,TaiwanStockInstitutionalInvestorsBuySell,6908,-1,unknown,2026-08-01T17:34:04.390801
8,TaiwanStockPrice,6908,-1,unknown,2026-08-01T17:34:09.308200
8,TaiwanStockPER,6908,-1,unknown,2026-08-01T17:34:14.222229
8,TaiwanStockInstitutionalInvestorsBuySell,6909,-1,unknown,2026-08-01T17:34:19.137135
8,TaiwanStockPrice,6909,-1,unknown,2026-08-01T17:34:24.054745
8,TaiwanStockPER,6909,-1,unknown,2026-08-01T17:34:28.964274
8,TaiwanStockInstitutionalInvestorsBuySell,6914,-1,unknown,2026-08-01T17:34:33.872435
8,TaiwanStockPrice,6914,-1,unknown,2026-08-01T17:34:38.785643
8,TaiwanStockPER,6914,-1,unknown,2026-08-01T17:34:43.695812
8,TaiwanStockInstitutionalInvestorsBuySell,6916,-1,unknown,2026-08-01T17:34:48.610672
8,TaiwanStockPrice,6916,-1,unknown,2026-08-01T17:34:53.528282
8,TaiwanStockPER,6916,-1,unknown,2026-08-01T17:34:58.445052
8,TaiwanStockInstitutionalInvestorsBuySell,6918,-1,unknown,2026-08-01T17:35:03.358082
8,TaiwanStockPrice,6918,-1,unknown,2026-08-01T17:35:08.271435
8,TaiwanStockPER,6918,-1,unknown,2026-08-01T17:35:13.185363
8,TaiwanStockInstitutionalInvestorsBuySell,6919,-1,unknown,2026-08-01T17:35:18.096694
8,TaiwanStockPrice,6919,-1,unknown,2026-08-01T17:35:23.014916
8,TaiwanStockPER,6919,-1,unknown,2026-08-01T17:35:27.925685
8,TaiwanStockInstitutionalInvestorsBuySell,6921,-1,unknown,2026-08-01T17:35:32.834718
8,TaiwanStockPrice,6921,-1,unknown,2026-08-01T17:35:37.743880
8,TaiwanStockPER,6921,-1,unknown,2026-08-01T17:35:42.652657
8,TaiwanStockInstitutionalInvestorsBuySell,6923,-1,unknown,2026-08-01T17:35:47.563917
8,TaiwanStockPrice,6923,-1,unknown,2026-08-01T17:35:52.474221
8,TaiwanStockPER,6923,-1,unknown,2026-08-01T17:35:57.394616
8,TaiwanStockInstitutionalInvestorsBuySell,6924,-1,unknown,2026-08-01T17:36:02.307919
8,TaiwanStockPrice,6924,-1,unknown,2026-08-01T17:36:07.217422
8,TaiwanStockPER,6924,-1,unknown,2026-08-01T17:36:12.130981
8,TaiwanStockInstitutionalInvestorsBuySell,6928,-1,unknown,2026-08-01T17:36:17.046313
8,TaiwanStockPrice,6928,-1,unknown,2026-08-01T17:36:21.959407
8,TaiwanStockPER,6928,-1,unknown,2026-08-01T17:36:26.874481
8,TaiwanStockInstitutionalInvestorsBuySell,6931,-1,unknown,2026-08-01T17:36:31.785686
8,TaiwanStockPrice,6931,-1,unknown,2026-08-01T17:36:36.696855
8,TaiwanStockPER,6931,-1,unknown,2026-08-01T17:36:41.618330
8,TaiwanStockInstitutionalInvestorsBuySell,6933,-1,unknown,2026-08-01T17:36:46.525512
8,TaiwanStockPrice,6933,-1,unknown,2026-08-01T17:36:51.437560
8,TaiwanStockPER,6933,-1,unknown,2026-08-01T17:36:56.353091
8,TaiwanStockInstitutionalInvestorsBuySell,6934,-1,unknown,2026-08-01T17:37:01.261635
8,TaiwanStockPrice,6934,-1,unknown,2026-08-01T17:37:06.172240
8,TaiwanStockPER,6934,-1,unknown,2026-08-01T17:37:11.089700
8,TaiwanStockInstitutionalInvestorsBuySell,6936,-1,unknown,2026-08-01T17:37:16.003458
8,TaiwanStockPrice,6936,-1,unknown,2026-08-01T17:37:20.920703
8,TaiwanStockPER,6936,-1,unknown,2026-08-01T17:37:25.833553
8,TaiwanStockInstitutionalInvestorsBuySell,6937,-1,unknown,2026-08-01T17:37:30.741874
8,TaiwanStockPrice,6937,-1,unknown,2026-08-01T17:37:35.648870
8,TaiwanStockPER,6937,-1,unknown,2026-08-01T17:37:40.558289
8,TaiwanStockInstitutionalInvestorsBuySell,6944,-1,unknown,2026-08-01T17:37:45.476447
8,TaiwanStockPrice,6944,-1,unknown,2026-08-01T17:37:50.387598
8,TaiwanStockPER,6944,-1,unknown,2026-08-01T17:37:55.303225
8,TaiwanStockInstitutionalInvestorsBuySell,6949,-1,unknown,2026-08-01T17:38:00.219144
8,TaiwanStockPrice,6949,-1,unknown,2026-08-01T17:38:05.126269
8,TaiwanStockPER,6949,-1,unknown,2026-08-01T17:38:10.037126
8,TaiwanStockInstitutionalInvestorsBuySell,6951,-1,unknown,2026-08-01T17:38:14.951889
8,TaiwanStockPrice,6951,-1,unknown,2026-08-01T17:38:19.861720
8,TaiwanStockPER,6951,-1,unknown,2026-08-01T17:38:24.776273
8,TaiwanStockInstitutionalInvestorsBuySell,6952,-1,unknown,2026-08-01T17:38:29.685479
8,TaiwanStockPrice,6952,-1,unknown,2026-08-01T17:38:34.594807
8,TaiwanStockPER,6952,-1,unknown,2026-08-01T17:38:39.506636
8,TaiwanStockInstitutionalInvestorsBuySell,6955,-1,unknown,2026-08-01T17:38:44.426177
8,TaiwanStockPrice,6955,-1,unknown,2026-08-01T17:38:49.340432
8,TaiwanStockPER,6955,-1,unknown,2026-08-01T17:38:54.254097
8,TaiwanStockInstitutionalInvestorsBuySell,6957,-1,unknown,2026-08-01T17:38:59.172773
8,TaiwanStockPrice,6957,-1,unknown,2026-08-01T17:39:04.085515
8,TaiwanStockPER,6957,-1,unknown,2026-08-01T17:39:08.997240
8,TaiwanStockInstitutionalInvestorsBuySell,6958,-1,unknown,2026-08-01T17:39:13.933092
8,TaiwanStockPrice,6958,-1,unknown,2026-08-01T17:39:18.843272
8,TaiwanStockPER,6958,-1,unknown,2026-08-01T17:39:23.755534
8,TaiwanStockInstitutionalInvestorsBuySell,6962,-1,unknown,2026-08-01T17:39:28.665987
8,TaiwanStockPrice,6962,-1,unknown,2026-08-01T17:39:33.575641
8,TaiwanStockPER,6962,-1,unknown,2026-08-01T17:39:38.484661
8,TaiwanStockInstitutionalInvestorsBuySell,6965,-1,unknown,2026-08-01T17:39:43.397886
8,TaiwanStockPrice,6965,-1,unknown,2026-08-01T17:39:48.317379
8,TaiwanStockPER,6965,-1,unknown,2026-08-01T17:39:53.227969
8,TaiwanStockInstitutionalInvestorsBuySell,6969,-1,unknown,2026-08-01T17:39:58.145975
8,TaiwanStockPrice,6969,-1,unknown,2026-08-01T17:40:03.055426
8,TaiwanStockPER,6969,-1,unknown,2026-08-01T17:40:07.972087
8,TaiwanStockInstitutionalInvestorsBuySell,6988,-1,unknown,2026-08-01T17:40:12.889793
8,TaiwanStockPrice,6988,-1,unknown,2026-08-01T17:40:17.799002
8,TaiwanStockPER,6988,-1,unknown,2026-08-01T17:40:22.709996
8,TaiwanStockInstitutionalInvestorsBuySell,6994,-1,unknown,2026-08-01T17:40:27.622542
8,TaiwanStockPrice,6994,-1,unknown,2026-08-01T17:40:32.533499
8,TaiwanStockPER,6994,-1,unknown,2026-08-01T17:40:37.442239
8,TaiwanStockInstitutionalInvestorsBuySell,7610,-1,unknown,2026-08-01T17:40:42.357226
8,TaiwanStockPrice,7610,-1,unknown,2026-08-01T17:40:47.268365
8,TaiwanStockPER,7610,-1,unknown,2026-08-01T17:40:52.178595
8,TaiwanStockInstitutionalInvestorsBuySell,7631,-1,unknown,2026-08-01T17:40:57.090761
8,TaiwanStockPrice,7631,-1,unknown,2026-08-01T17:41:01.999124
8,TaiwanStockPER,7631,-1,unknown,2026-08-01T17:41:06.907841
8,TaiwanStockInstitutionalInvestorsBuySell,7705,-1,unknown,2026-08-01T17:41:11.824922
8,TaiwanStockPrice,7705,-1,unknown,2026-08-01T17:41:16.733442
8,TaiwanStockPER,7705,-1,unknown,2026-08-01T17:41:21.644287
8,TaiwanStockInstitutionalInvestorsBuySell,7711,-1,unknown,2026-08-01T17:41:26.558491
8,TaiwanStockPrice,7711,-1,unknown,2026-08-01T17:41:31.465334
8,TaiwanStockPER,7711,-1,unknown,2026-08-01T17:41:36.371797
8,TaiwanStockInstitutionalInvestorsBuySell,6854,402,,2026-08-01T20:01:40.989349
9,TaiwanStockInstitutionalInvestorsBuySell,8429,402,,2026-08-01T21:17:01.286748
9,TaiwanStockPER,9103,200,,2026-08-01T22:23:17.682613
9,TaiwanStockPER,910322,200,,2026-08-01T22:23:22.817476
9,TaiwanStockPER,9105,200,,2026-08-01T22:23:25.937431
9,TaiwanStockPER,910861,200,,2026-08-01T22:23:28.565637
9,TaiwanStockPER,9110,200,,2026-08-01T22:23:31.008691
9,TaiwanStockPER,911608,200,,2026-08-01T22:23:34.143311
9,TaiwanStockPER,911622,200,,2026-08-01T22:23:38.176437
9,TaiwanStockPER,911868,200,,2026-08-01T22:23:42.492098
9,TaiwanStockPER,912000,200,,2026-08-01T22:23:45.918163
9,TaiwanStockPER,9136,200,,2026-08-01T22:23:50.007582
9,TaiwanStockPER,9103,200,,2026-08-01T23:30:54.775509
