stock_id,date,F_INST_01_foreign,F_INST_02_trust,F_INST_03_dealer_self,F_INST_04_dealer_hedge,F_INST_05_aggregate,F_INST_06_value_proxy,F_INST_07_flow_to_volume,F_INST_08_streak,F_INST_09_change_rate,F_INT_01_flow_x_momentum,F_INT_02_flow_x_size,F_INT_03_flow_x_liquidity,F_INST_01_foreign_rank,F_INST_02_trust_rank,F_INST_03_dealer_self_rank,F_INST_04_dealer_hedge_rank,F_INST_05_aggregate_rank,F_INST_06_value_proxy_rank,F_INST_09_change_rate_rank,version,build_date
1101,2024-08-02,111473,2072788,-586345,-58339,1539577,52807491.099999994,0.06934605771726718,1,-0.5186664974450035,0.7051999999999999,0.29519999999999996,0.09839999999999999,0.8,0.86,0.44,0.42,0.82,0.76,0.64,v0.1,2026-07-11T07:49:09Z
1101,2024-08-05,6303743,3988646,-1187314,-624561,8480514,280705013.40000004,0.20287912041538322,2,1.6032171757471667,0.8648,0.35719999999999996,0.11279999999999998,0.9,0.82,0.4,0.22,0.94,0.86,0.8,v0.1,2026-07-11T07:49:09Z
1101,2024-08-06,9018382,2635897,16846,118124,11789249,398476616.2,0.4214564905502649,3,2.408944184901114,0.846,0.342,0.108,0.92,0.84,0.6,0.68,0.9,0.74,0.68,v0.1,2026-07-11T07:49:09Z
1101,2024-08-07,-2453112,909081,-3000,38000,-1509031,-51005247.8,-0.10892999734790862,-1,-1.4786046699121251,0.17200000000000001,0.07600000000000001,0.024,0.26,0.62,0.58,0.32,0.2,0.36,0.22,v0.1,2026-07-11T07:49:09Z
1101,2024-08-08,6390852,1401651,-58999,238844,7972348,271059832.0,0.3649951090409627,1,1.2975349998198105,0.9,0.38,0.12,1.0,0.74,0.52,0.96,1.0,0.88,0.88,v0.1,2026-07-11T07:49:09Z
1101,2024-08-09,6265626,1135546,-514000,251989,7139161,246301054.5,0.34293374039324426,2,0.8268233077949756,0.752,0.30400000000000005,0.096,0.82,0.86,0.34,0.84,0.8,0.6,0.46,v0.1,2026-07-11T07:49:09Z
1101,2024-08-12,-563615,847481,14000,-293067,4799,165325.55000000002,0.00045123489705328285,3,-0.9988531384384023,0.30600000000000005,0.12240000000000001,0.0408,0.34,0.68,0.75,0.12,0.34,0.34,0.24,v0.1,2026-07-11T07:49:09Z
1101,2024-08-13,-1032466,920633,4000,-23000,-130833,-4526821.8,-0.010042467849756827,-1,-1.0349745384488622,0.4576,0.1872,0.0624,0.44,0.76,0.76,0.42,0.52,0.54,0.36,v0.1,2026-07-11T07:49:09Z
1101,2024-08-14,-7603972,427020,-94540,-87520,-7359012,-247262803.20000002,-0.14147457328875593,-2,-3.2234844473423454,0.0304,0.0128,0.005600000000000001,0.04,0.72,0.48,0.16,0.04,0.08,0.04,v0.1,2026-07-11T07:49:09Z
1101,2024-08-15,-4514060,-552000,-21332,9454,-5077938,-167064160.2,-0.1329376918300178,-3,-2.6605154956387804,0.06999999999999999,0.032,0.018,0.14,0.16,0.4,0.64,0.1,0.36,0.24,v0.1,2026-07-11T07:49:09Z
