stock_id,block_start,block_end,n_dates
1213,2017-07-27,2017-07-31,3
1213,2018-09-20,2018-09-25,3
1213,2018-07-27,2018-07-31,3
1213,2018-07-13,2018-07-17,3
1213,2012-07-23,2012-07-25,3
1213,2025-04-10,2025-04-14,3
1213,2017-03-29,2017-03-31,3
1213,2016-08-01,2016-08-03,3
1213,2016-10-17,2016-10-19,3
1213,2014-01-17,2014-01-21,3
1213,2013-06-28,2013-07-01,2
1213,2025-06-23,2025-06-24,2
1213,2013-07-09,2013-07-10,2
1213,2025-06-26,2025-06-27,2
1213,2013-06-19,2013-06-20,2
1213,2024-05-30,2024-05-31,2
1213,2024-05-22,2024-05-23,2
1213,2024-04-16,2024-04-17,2
1213,2024-10-24,2024-10-25,2
1213,2024-09-19,2024-09-20,2
1213,2014-09-15,2014-09-16,2
1213,2014-10-02,2014-10-03,2
1213,2025-09-23,2025-09-24,2
1213,2021-05-24,2021-05-25,2
1213,2013-04-02,2013-04-03,2
1213,2015-10-19,2015-10-20,2
1213,2016-03-16,2016-03-17,2
1213,2016-05-09,2016-05-10,2
1213,2016-05-19,2016-05-20,2
1213,2016-05-24,2016-05-25,2
1213,2015-10-14,2015-10-15,2
1213,2016-10-24,2016-10-25,2
1213,2016-04-29,2016-05-03,2
1213,2024-07-01,2024-07-02,2
1213,2024-03-04,2024-03-05,2
1213,2024-06-18,2024-06-19,2
1213,2015-10-30,2015-11-02,2
1213,2015-09-15,2015-09-16,2
1213,2015-01-27,2015-01-28,2
1213,2024-08-07,2024-08-08,2
1213,2024-07-12,2024-07-15,2
1213,2025-03-20,2025-03-21,2
1213,2012-12-07,2012-12-10,2
1213,2015-07-20,2015-07-21,2
1213,2015-03-17,2015-03-18,2
1213,2015-03-12,2015-03-13,2
1213,2024-09-04,2024-09-05,2
1213,2015-06-09,2015-06-10,2
1213,2013-12-23,2013-12-24,2
1213,2022-01-20,2022-01-21,2
1213,2019-03-15,2019-03-18,2
1213,2015-01-07,2015-01-08,2
1213,2013-07-25,2013-07-26,2
1213,2018-09-11,2018-09-12,2
1213,2022-02-08,2022-02-09,2
1213,2017-07-03,2017-07-04,2
1213,2017-06-22,2017-06-23,2
1213,2013-11-06,2013-11-07,2
1213,2014-12-05,2014-12-08,2
1213,2016-06-30,2016-07-01,2
1213,2014-11-25,2014-11-26,2
1213,2016-12-22,2016-12-23,2
1213,2017-02-06,2017-02-07,2
1213,2014-02-24,2014-02-25,2
1213,2018-11-06,2018-11-07,2
1213,2018-02-08,2018-02-09,2
1213,2018-04-25,2018-04-26,2
1213,2018-11-15,2018-11-16,2
1213,2018-09-14,2018-09-17,2
1213,2016-11-18,2016-11-21,2
1213,2017-07-13,2017-07-14,2
1213,2017-11-20,2017-11-21,2
1213,2018-07-04,2018-07-05,2
1213,2018-06-21,2018-06-22,2
1213,2018-06-29,2018-07-02,2
1213,2025-04-16,2025-04-17,2
1213,2025-04-21,2025-04-22,2
1213,2017-12-26,2017-12-27,2
1213,2014-06-05,2014-06-06,2
1213,2024-11-19,2024-11-20,2
1213,2025-05-27,2025-05-28,2
1213,2025-04-01,2025-04-02,2
1213,2013-05-20,2013-05-21,2
