date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,2344,18215520,466665779,25.7,25.8,25.35,25.5,-0.2,5936
2024-07-02,2344,20532919,518867916,25.4,25.5,25.15,25.4,0.0,6362
2024-07-03,2344,53377945,1392225932,25.5,26.65,25.25,26.3,0.9,16103
2024-07-04,2344,26264190,690818527,26.5,26.7,26.0,26.3,0.0,11168
2024-07-05,2344,21430113,557929300,26.3,26.35,25.95,25.95,-0.35,9281
2024-07-08,2344,37759932,980835518,26.1,26.25,25.75,25.95,0.0,11061
2024-07-09,2344,29748333,759854959,26.05,26.05,25.2,25.55,-0.4,10356
2024-07-10,2344,16841553,428046330,25.6,25.7,25.3,25.4,-0.15,5890
2024-07-11,2344,20056526,512512583,25.5,25.85,25.15,25.8,0.4,7306
2024-07-12,2344,21244054,549449865,25.6,26.1,25.45,25.8,0.0,6859
2024-07-15,2344,22139177,562209955,25.85,25.85,25.25,25.35,-0.45,8206
2024-07-16,2344,14714777,375460215,25.4,25.7,25.3,25.35,0.0,5140
2024-07-17,2344,20872999,529398831,25.45,25.6,25.2,25.25,-0.1,8875
2024-07-18,2344,26976706,675025856,25.2,25.35,24.7,25.25,0.0,9244
2024-07-19,2344,33686007,828682300,25.05,25.2,24.35,24.4,-0.85,13430
2024-07-22,2344,33913528,810054406,24.4,24.5,23.55,23.85,-0.55,11818
2024-07-23,2344,21197799,509980719,24.1,24.4,23.9,23.9,0.05,6742
2024-07-26,2344,26962518,630495404,23.6,23.65,23.2,23.45,-0.45,10003
2024-07-29,2344,16224575,379543204,23.6,23.85,23.2,23.2,-0.25,7105
2024-07-30,2344,49792633,1120542972,22.85,23.05,22.1,22.7,-0.5,19532
2024-07-31,2344,34345948,790059882,22.5,23.35,22.3,23.15,0.45,11364
2024-08-01,2344,26338604,616229304,23.5,23.7,23.2,23.3,0.15,9278
2024-08-02,2344,54141463,1275319043,23.55,24.1,23.2,23.2,-0.1,17154
2024-08-05,2344,57982952,1273727638,22.3,22.4,21.4,22.0,-1.2,19417
2024-08-06,2344,53418750,1222514573,22.8,23.5,22.0,23.1,1.1,16759
2024-08-07,2344,30205099,707228791,23.0,23.7,22.9,23.55,0.45,11981
2024-08-08,2344,26024938,596357959,23.1,23.25,22.65,22.65,-0.9,10574
2024-08-09,2344,31165390,723500536,23.15,23.55,22.9,22.9,0.25,9671
2024-08-12,2344,26234565,614465732,23.1,23.7,23.1,23.35,0.45,9876
2024-08-13,2344,12979297,304644010,23.5,23.6,23.25,23.6,0.25,5203
2024-08-14,2344,26202678,630740614,23.85,24.35,23.7,24.2,0.6,9484
2024-08-15,2344,15401519,369627744,24.4,24.4,23.8,23.8,-0.4,6368
2024-08-16,2344,17683112,426799762,24.2,24.35,23.9,23.95,0.15,6188
2024-08-19,2344,22395225,536967278,23.95,24.15,23.7,24.0,0.05,7911
2024-08-20,2344,39962265,954098795,23.9,24.15,23.65,23.75,-0.25,18827
2024-08-21,2344,24669010,580900648,23.8,23.85,23.35,23.35,-0.4,11276
2024-08-22,2344,15313895,362997819,23.4,23.85,23.35,23.75,0.4,6785
2024-08-23,2344,17649804,411695228,23.5,23.55,23.2,23.4,-0.35,7654
2024-08-26,2344,23093425,547691126,23.5,23.95,23.4,23.55,0.15,6637
2024-08-27,2344,13621633,318752242,23.5,23.55,23.3,23.4,-0.15,4316
2024-08-28,2344,11412946,267843497,23.5,23.6,23.25,23.45,0.05,3968
2024-08-29,2344,11788654,275767378,23.25,23.6,23.15,23.55,0.1,4946
2024-08-30,2344,42990730,1035112217,23.55,24.3,23.55,24.05,0.5,12465
2024-09-02,2344,15471358,369872003,24.15,24.2,23.55,23.7,-0.35,6616
2024-09-03,2344,13601074,317685425,23.7,23.75,23.2,23.2,-0.5,5805
2024-09-04,2344,39559631,872326167,22.05,22.25,21.6,22.1,-1.1,13892
2024-09-05,2344,34563421,752085551,22.2,22.35,21.4,21.4,-0.7,14843
2024-09-06,2344,20427442,437018704,21.5,21.65,21.25,21.4,0.0,6380
2024-09-09,2344,17149726,361348900,20.9,21.3,20.8,21.2,-0.2,6287
2024-09-10,2344,23832601,494981508,21.3,21.35,20.45,20.45,-0.75,10303
2024-09-11,2344,11163834,232286967,20.5,21.0,20.5,20.8,0.35,4105
2024-09-12,2344,8974299,189556318,21.25,21.3,20.95,21.05,0.25,4007
2024-09-13,2344,7046078,148264229,21.05,21.15,20.95,21.05,0.0,3328
2024-09-16,2344,17856921,371422574,20.65,21.05,20.55,21.05,0.0,6430
2024-09-18,2344,22833233,472425050,21.05,21.1,20.4,20.4,-0.65,10207
2024-09-19,2344,26813220,544170589,20.4,20.7,20.1,20.4,0.0,10186
2024-09-20,2344,42691297,879221452,20.6,20.95,20.45,20.45,0.05,9511
2024-09-23,2344,15277143,316425947,20.75,20.95,20.55,20.65,0.2,6005
2024-09-24,2344,28032310,568695702,20.6,20.6,20.1,20.4,-0.25,10358
2024-09-25,2344,29449596,610769454,20.5,20.85,20.5,20.75,0.35,8201
2024-09-26,2344,48246898,1028130007,21.5,21.75,20.9,20.9,0.15,16479
2024-09-27,2344,36237098,776436932,21.3,21.55,21.25,21.45,0.55,9810
2024-09-30,2344,31467127,675846173,21.2,21.75,21.15,21.35,-0.1,12044
2024-10-01,2344,20264517,426642897,21.35,21.45,20.9,21.0,-0.35,8003
2024-10-04,2344,18097053,377884756,21.0,21.25,20.7,20.85,-0.15,6453
2024-10-07,2344,14652859,303325706,20.95,21.0,20.55,20.7,-0.15,5572
2024-10-08,2344,19308868,394719640,20.7,20.8,20.3,20.35,-0.35,7039
2024-10-09,2344,15487211,315559281,20.6,20.65,20.25,20.25,-0.1,6081
2024-10-11,2344,23298189,468662828,20.35,20.35,20.05,20.05,-0.2,8788
2024-10-14,2344,14643005,293962733,20.15,20.2,20.0,20.1,0.05,5132
2024-10-15,2344,16267249,331554564,20.15,20.5,20.15,20.35,0.25,5412
2024-10-16,2344,21547430,431666795,20.2,20.2,19.95,20.0,-0.35,8643
2024-10-17,2344,18284388,370706455,20.15,20.5,20.1,20.25,0.25,5672
2024-10-18,2344,15031649,302765284,20.35,20.4,20.0,20.1,-0.15,5724
2024-10-21,2344,21090197,425005841,20.2,20.4,19.95,20.25,0.15,6929
2024-10-22,2344,18903181,379584322,20.25,20.25,20.0,20.2,-0.05,6409
2024-10-23,2344,13777424,278648418,20.15,20.45,20.1,20.2,0.0,4213
2024-10-24,2344,21649671,432646502,20.15,20.15,19.9,19.95,-0.25,8222
2024-10-25,2344,30323157,598769929,20.0,20.05,19.6,19.8,-0.15,12374
2024-10-28,2344,17759014,349321378,19.9,19.9,19.5,19.75,-0.05,6471
2024-10-29,2344,21531070,416179079,19.75,19.75,19.2,19.2,-0.55,8659
2024-10-30,2344,17989671,345592403,19.3,19.5,19.05,19.25,0.05,6834
2024-11-01,2344,23906503,454609960,19.0,19.4,18.8,19.35,0.1,8540
2024-11-04,2344,14356133,275261350,19.35,19.35,19.05,19.2,-0.15,5772
