date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,2885,18517447,593476430,32.05,32.35,31.85,32.0,-0.05,8266
2024-07-02,2885,21683756,694406529,31.8,32.15,31.75,32.1,0.1,5594
2024-07-03,2885,30355871,986097125,32.05,32.8,32.0,32.7,0.6,9333
2024-07-04,2885,22854024,756679438,32.9,33.35,32.8,33.1,0.4,8330
2024-07-05,2885,9725455,320936057,33.0,33.1,32.9,33.0,-0.1,3814
2024-07-08,2885,15836333,524804629,33.0,33.35,32.8,33.2,0.2,6443
2024-07-09,2885,13914349,460208407,33.2,33.4,32.85,33.0,-0.2,4990
2024-07-10,2885,17122387,572620736,33.0,33.55,33.0,33.55,0.55,5238
2024-07-11,2885,19070334,642650009,33.65,34.1,33.4,33.65,0.1,7563
2024-07-12,2885,17398078,585194125,33.4,33.9,33.35,33.75,0.1,6385
2024-07-15,2885,25822948,851756755,33.7,33.7,32.75,32.9,-0.85,11287
2024-07-16,2885,20583659,677894027,33.1,33.3,32.75,33.0,0.1,6446
2024-07-17,2885,28326758,936703670,32.95,33.35,32.7,33.15,0.15,9471
2024-07-18,2885,33903925,1125345982,33.2,33.45,32.75,33.25,0.1,9667
2024-07-19,2885,32087372,1046836249,33.4,33.4,32.25,32.6,-0.65,11823
2024-07-22,2885,27675530,884462937,32.35,32.45,31.7,31.85,-0.75,9698
2024-07-23,2885,20783694,681939903,32.3,33.05,32.25,33.0,1.15,7327
2024-07-26,2885,29543222,948827063,32.5,32.6,31.85,32.05,-0.95,11969
2024-07-29,2885,17787618,580888719,32.6,32.85,32.5,32.7,0.65,5096
2024-07-30,2885,15696698,505840099,32.7,32.7,31.85,32.35,-0.35,6139
2024-07-31,2885,20662859,675782852,32.4,32.8,32.35,32.8,0.45,4184
2024-08-01,2885,19705166,649072736,32.7,33.1,32.7,33.05,0.25,5094
2024-08-02,2885,22839150,730759246,32.2,32.4,31.75,31.9,-1.15,10337
2024-08-05,2885,37000583,1105397836,31.1,31.1,29.2,29.35,-2.55,17312
2024-08-06,2885,32540615,988166636,29.6,31.05,29.3,30.7,1.35,11983
2024-08-07,2885,19139995,600549038,31.7,31.75,31.0,31.3,0.6,7150
2024-08-08,2885,19625364,614948736,30.8,31.65,30.75,31.4,0.1,6233
