date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,2884,14929590,428488871,28.55,28.85,28.55,28.75,0.2,5657
2024-07-02,2884,13207092,378849941,28.6,28.8,28.55,28.75,0.0,5448
2024-07-03,2884,29069001,840903822,28.75,29.05,28.65,29.05,0.3,7789
2024-07-04,2884,24374559,711032761,29.1,29.3,29.0,29.25,0.2,8538
2024-07-05,2884,14060979,412899841,29.25,29.3,29.05,29.25,0.0,6916
2024-07-08,2884,20612933,602054644,29.2,29.3,29.0,29.25,0.0,8565
2024-07-09,2884,27408532,802268964,29.25,29.4,29.15,29.25,0.0,9771
2024-07-10,2884,30132314,887615176,29.25,29.6,29.2,29.6,0.35,12266
2024-07-11,2884,26052358,775498644,29.6,29.95,29.55,29.85,0.25,10213
2024-07-12,2884,22034690,658011745,29.8,30.0,29.65,29.9,0.05,8959
2024-07-15,2884,33560315,1003889422,30.0,30.2,29.7,30.0,0.1,12345
2024-07-16,2884,38680563,1156462464,30.0,30.0,29.75,30.0,0.0,11417
2024-07-17,2884,47081961,1412895802,29.9,30.1,29.8,30.05,0.05,12420
2024-07-18,2884,63890282,1936797933,30.05,30.6,29.8,30.45,0.4,18205
2024-07-19,2884,49144695,1484505013,30.55,30.55,29.9,30.25,-0.2,26054
2024-07-22,2884,51560124,1529228582,30.1,30.15,29.4,29.7,-0.55,17451
2024-07-23,2884,53594001,1600958835,29.8,30.1,29.75,29.8,0.1,10887
2024-07-26,2884,96500816,2620825919,26.45,27.5,26.45,27.0,-1.05,42363
2024-07-29,2884,58529507,1571120337,27.05,27.2,26.7,26.7,-0.3,24739
2024-07-30,2884,48654712,1277291018,26.7,26.75,26.05,26.25,-0.45,21976
2024-07-31,2884,36301492,959947740,26.15,26.75,25.9,26.55,0.3,10252
2024-08-01,2884,34686339,920482639,26.55,26.65,26.35,26.65,0.1,15822
2024-08-02,2884,34231813,899663376,26.3,26.45,26.1,26.45,-0.2,14354
2024-08-05,2884,69674365,1771238397,26.0,26.05,24.85,25.35,-1.1,32573
2024-08-06,2884,43676473,1117955427,25.8,26.1,24.8,25.75,0.4,17063
2024-08-07,2884,24602257,635079583,25.65,25.95,25.55,25.9,0.15,10772
2024-08-08,2884,23575854,609624234,25.65,26.1,25.6,25.8,-0.1,8472
2024-08-09,2884,43172771,1148210351,26.05,27.0,26.05,26.65,0.85,13428
2024-08-12,2884,28945835,782010019,26.85,27.3,26.75,27.0,0.35,10282
2024-08-13,2884,21612300,579827426,27.0,27.0,26.7,26.8,-0.2,9281
2024-08-14,2884,28144718,764898517,26.95,27.4,26.85,27.25,0.45,8369
2024-08-15,2884,22207083,598067749,27.45,27.45,26.7,26.7,-0.55,10813
2024-08-16,2884,26182061,712485577,27.1,27.35,27.05,27.3,0.6,7983
2024-08-19,2884,10881513,295904868,27.35,27.35,27.05,27.15,-0.15,5685
2024-08-20,2884,16321702,444737090,27.3,27.35,27.05,27.3,0.15,6352
2024-08-21,2884,12994251,353879196,27.25,27.35,27.1,27.35,0.05,7324
2024-08-22,2884,16081919,439213699,27.35,27.4,27.15,27.4,0.05,5024
2024-08-23,2884,13660509,373989136,27.3,27.5,27.15,27.4,0.0,4927
2024-08-26,2884,23036736,640531464,27.5,27.9,27.45,27.9,0.5,8429
2024-08-27,2884,10056636,279516451,27.65,27.9,27.65,27.9,0.0,6354
2024-08-28,2884,7828394,217339699,27.8,27.85,27.65,27.85,-0.05,6803
2024-08-29,2884,19372230,540114842,27.85,28.0,27.7,27.95,0.1,10154
2024-08-30,2884,35491763,998565694,28.0,28.2,27.95,28.2,0.25,9236
2024-09-02,2884,11875546,333907258,28.2,28.25,28.0,28.1,-0.1,7637
2024-09-03,2884,18717607,521178671,28.1,28.1,27.65,27.65,-0.45,7875
2024-09-04,2884,34770652,945219479,27.35,27.4,26.9,27.25,-0.4,13717
2024-09-05,2884,15340773,420431549,27.25,27.7,27.15,27.3,0.05,6709
2024-09-06,2884,10988922,299974879,27.2,27.5,27.0,27.5,0.2,5560
