date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,3034,5421306,3347483976,608.0,620.0,608.0,620.0,14.0,5820
2024-07-02,3034,7925118,4931147971,617.0,628.0,612.0,624.0,4.0,9177
2024-07-03,3034,7941307,4886230352,620.0,620.0,609.0,619.0,-5.0,9522
2024-07-04,3034,7076441,4354924175,616.0,620.0,610.0,620.0,1.0,7113
2024-07-05,3034,2392414,1481272523,620.0,622.0,616.0,618.0,-2.0,3087
2024-07-08,3034,4431437,2717192901,616.0,620.0,610.0,612.0,-6.0,6343
2024-07-09,3034,5939792,3599409582,612.0,616.0,602.0,604.0,-8.0,9475
2024-07-10,3034,9634873,5513836277,569.0,578.0,568.0,570.0,0.0,17165
2024-07-11,3034,4312476,2500740096,575.0,584.0,572.0,579.0,9.0,6367
2024-07-12,3034,5029883,2861127487,575.0,575.0,566.0,567.0,-12.0,10800
2024-07-15,3034,4415656,2490601085,570.0,571.0,561.0,563.0,-4.0,8107
2024-07-16,3034,3806926,2127342207,564.0,564.0,555.0,558.0,-5.0,8641
2024-07-17,3034,3499739,1944794478,559.0,562.0,552.0,554.0,-4.0,6877
2024-07-18,3034,6509077,3558525537,549.0,554.0,540.0,554.0,0.0,9692
2024-07-19,3034,3812933,2081166207,552.0,553.0,543.0,543.0,-11.0,5683
2024-07-22,3034,5134237,2730720958,543.0,547.0,524.0,524.0,-19.0,8005
2024-07-23,3034,2887471,1557708620,550.0,550.0,533.0,541.0,17.0,3687
2024-07-26,3034,4870527,2629191349,525.0,548.0,524.0,544.0,3.0,5491
2024-07-29,3034,3431943,1845636598,551.0,555.0,529.0,530.0,-14.0,5058
2024-07-30,3034,4952039,2602405081,526.0,532.0,520.0,531.0,1.0,6453
2024-07-31,3034,4533383,2366305206,520.0,529.0,516.0,523.0,-8.0,6474
2024-08-01,3034,3563275,1898041917,530.0,540.0,523.0,536.0,13.0,3806
2024-08-02,3034,4975833,2592933349,524.0,526.0,516.0,521.0,-15.0,6914
2024-08-05,3034,9086416,4487866278,505.0,511.0,481.5,490.0,-31.0,11702
2024-08-06,3034,8043258,4017996859,506.0,509.0,487.0,499.5,9.5,7601
2024-08-07,3034,9495158,4661501176,485.0,498.0,480.5,495.5,-4.0,13805
2024-08-08,3034,3182488,1571222106,485.0,499.5,485.0,495.5,0.0,4064
2024-08-09,3034,6199861,3153459207,502.0,516.0,501.0,506.0,10.5,5700
2024-08-12,3034,3586400,1870738720,512.0,529.0,510.0,525.0,19.0,4328
2024-08-13,3034,3242041,1705309144,521.0,531.0,521.0,525.0,0.0,3978
2024-08-14,3034,2696539,1424350549,531.0,531.0,524.0,529.0,4.0,2877
2024-08-15,3034,1628393,861225686,534.0,534.0,525.0,527.0,-2.0,2214
2024-08-16,3034,3116455,1655669194,536.0,536.0,527.0,533.0,6.0,3298
2024-08-19,3034,2321196,1257109019,535.0,548.0,532.0,547.0,14.0,3298
2024-08-20,3034,2626504,1445989106,550.0,554.0,546.0,552.0,5.0,3512
2024-08-21,3034,2118257,1154169983,547.0,549.0,540.0,545.0,-7.0,4575
2024-08-22,3034,1592230,873141128,545.0,552.0,543.0,549.0,4.0,2105
2024-08-23,3034,2426599,1318635253,544.0,547.0,539.0,547.0,-2.0,2929
2024-08-26,3034,2467987,1353011725,548.0,552.0,545.0,549.0,2.0,2971
2024-08-27,3034,1878606,1023052327,545.0,547.0,539.0,547.0,-2.0,2320
2024-08-28,3034,1532702,831789235,547.0,548.0,539.0,541.0,-6.0,2086
2024-08-29,3034,3159534,1733262915,537.0,553.0,537.0,551.0,10.0,3390
2024-08-30,3034,2993495,1624805420,550.0,554.0,540.0,540.0,-11.0,3292
2024-09-02,3034,2571768,1385615937,540.0,543.0,535.0,540.0,0.0,2787
2024-09-03,3034,2737217,1463559067,539.0,542.0,532.0,532.0,-8.0,3280
2024-09-04,3034,5096426,2653024532,510.0,529.0,503.0,521.0,-11.0,5152
2024-09-05,3034,2731322,1423041864,527.0,530.0,517.0,519.0,-2.0,3081
2024-09-06,3034,2112211,1102581933,518.0,527.0,513.0,526.0,7.0,2238
2024-09-09,3034,3603102,1864144579,512.0,524.0,510.0,518.0,-8.0,3558
2024-09-10,3034,2029264,1061853785,521.0,528.0,518.0,523.0,5.0,2158
2024-09-11,3034,2441611,1291287541,523.0,534.0,522.0,534.0,11.0,2218
2024-09-12,3034,1928407,1028522900,538.0,540.0,530.0,533.0,-1.0,2452
2024-09-13,3034,2308789,1227233759,534.0,537.0,529.0,534.0,1.0,1976
2024-09-16,3034,4490803,2377142185,533.0,535.0,522.0,532.0,-2.0,3868
