date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,2886,15593450,633303323,40.4,40.8,40.3,40.75,0.35,6915
2024-07-02,2886,24071961,982094183,40.35,41.0,40.3,40.75,0.0,11622
2024-07-03,2886,98710550,4174700873,40.75,42.8,40.65,42.75,2.0,29945
2024-07-04,2886,31839960,1340551362,42.55,42.6,41.85,41.95,-0.8,23189
2024-07-05,2886,18854552,793636602,42.0,42.4,41.9,42.1,0.15,14764
2024-07-08,2886,15947072,671239539,42.1,42.4,41.9,42.1,0.0,10880
2024-07-09,2886,19767855,825102920,42.1,42.2,41.4,41.65,-0.45,17183
2024-07-10,2886,18804421,786526457,42.15,42.5,41.6,41.65,0.0,9459
2024-07-11,2886,21963656,921863053,42.0,42.4,41.75,41.75,0.1,10232
2024-07-12,2886,22991826,965904954,41.75,42.35,41.75,42.05,0.3,8699
2024-07-15,2886,14864454,623108958,42.25,42.3,41.75,41.95,-0.1,7452
2024-07-16,2886,17005651,712883602,41.95,42.1,41.75,41.85,-0.1,6336
2024-07-17,2886,19870901,834526480,41.85,42.2,41.65,41.9,0.05,7583
2024-07-18,2886,34237121,1456483164,42.1,42.75,41.85,42.75,0.85,14776
2024-07-19,2886,26367697,1111168861,42.4,42.6,41.7,42.25,-0.5,14962
2024-07-22,2886,26668974,1122815186,41.9,42.45,41.6,42.45,0.2,11335
2024-07-23,2886,17643240,752751704,42.4,42.9,42.3,42.75,0.3,8247
2024-07-26,2886,18527477,787514069,42.35,42.75,42.15,42.7,-0.05,10725
2024-07-29,2886,27688630,1195867231,42.8,43.35,42.75,43.3,0.6,11862
2024-07-30,2886,22628170,967127297,43.2,43.2,42.4,42.75,-0.55,10489
2024-07-31,2886,25347145,1089316528,42.5,43.2,42.4,43.2,0.45,8850
2024-08-01,2886,20184392,872749271,43.2,43.3,43.05,43.3,0.1,12932
2024-08-02,2886,22407346,952377537,42.5,43.0,42.05,42.6,-0.7,11123
2024-08-05,2886,33890657,1393615934,41.5,41.95,40.15,40.9,-1.7,17989
2024-08-06,2886,35737015,1475569195,41.05,42.0,40.0,41.8,0.9,13123
2024-08-07,2886,44557026,1843298477,41.05,41.75,41.05,41.55,-0.25,18557
2024-08-08,2886,74093305,2807936441,38.0,38.35,37.65,38.1,0.0,45132
2024-08-09,2886,55102965,2141360398,38.2,39.1,38.2,38.85,0.75,22070
2024-08-12,2886,29160064,1145344937,39.1,39.6,39.0,39.4,0.55,13464
2024-08-13,2886,33933978,1311970872,39.4,39.4,38.5,38.7,-0.7,22590
2024-08-14,2886,27657364,1077674691,39.0,39.4,38.7,38.9,0.2,12248
2024-08-15,2886,28888196,1113538626,39.25,39.3,38.2,38.35,-0.55,16581
2024-08-16,2886,27192845,1058167415,38.85,39.1,38.7,39.0,0.65,11113
2024-08-19,2886,15976342,620068514,39.1,39.15,38.65,38.65,-0.35,8572
2024-08-20,2886,15975364,621000918,38.95,39.0,38.65,39.0,0.35,7111
2024-08-21,2886,22690923,878428289,39.05,39.05,38.6,38.9,-0.1,10681
2024-08-22,2886,10514731,408563374,38.85,39.0,38.7,39.0,0.1,4144
2024-08-23,2886,9345647,364232050,39.0,39.05,38.75,39.05,0.05,4319
2024-08-26,2886,18103042,714702209,39.15,39.7,39.05,39.6,0.55,7323
2024-08-27,2886,9004556,355954192,39.4,39.75,39.2,39.75,0.15,4543
2024-08-28,2886,17566635,691109739,39.55,39.7,39.2,39.3,-0.45,7849
2024-08-29,2886,16027873,625894069,39.35,39.35,38.9,38.9,-0.4,6775
2024-08-30,2886,32301527,1256720318,38.95,39.2,38.75,38.95,0.05,8150
2024-09-02,2886,7530992,294047042,39.05,39.15,38.95,39.05,0.1,3137
2024-09-03,2886,11083651,431528964,39.05,39.05,38.8,38.95,-0.1,4844
2024-09-04,2886,36526596,1386997261,37.2,38.5,37.15,38.0,-0.95,17773
2024-09-05,2886,13427282,516485658,38.15,38.65,38.15,38.55,0.55,5489
2024-09-06,2886,11832769,458611249,38.55,38.95,38.25,38.9,0.35,6038
2024-09-09,2886,19130269,740709720,38.0,39.1,38.0,39.1,0.2,6891
2024-09-10,2886,21393468,837083208,38.8,39.35,38.65,39.35,0.25,7523
2024-09-11,2886,13605445,530721439,39.25,39.25,38.85,38.95,-0.4,6416
2024-09-12,2886,12877566,503283447,39.35,39.35,38.85,39.0,0.05,4976
2024-09-13,2886,7347051,287191657,39.25,39.25,38.95,39.15,0.15,8172
2024-09-16,2886,9394134,368505306,39.15,39.35,39.0,39.35,0.2,5860
2024-09-18,2886,14953746,588529240,39.25,39.4,39.15,39.4,0.05,7392
2024-09-19,2886,13008173,512097608,39.45,39.5,39.2,39.25,-0.15,5696
2024-09-20,2886,25562504,1007093178,39.3,39.6,39.3,39.35,0.1,6682
2024-09-23,2886,17513328,694134062,39.55,39.75,39.4,39.7,0.35,6442
2024-09-24,2886,12360850,490531692,39.5,39.8,39.4,39.8,0.1,5839
2024-09-25,2886,17988793,715684733,39.9,39.9,39.6,39.85,0.05,8335
2024-09-26,2886,15883097,634474468,40.0,40.0,39.7,40.0,0.15,6166
2024-09-27,2886,22812947,901279670,40.2,40.2,39.25,39.45,-0.55,10837
2024-09-30,2886,14715996,580733074,39.65,39.75,39.3,39.3,-0.15,6063
2024-10-01,2886,7076403,278743135,39.4,39.55,39.2,39.45,0.15,3872
2024-10-04,2886,16743940,653748895,38.9,39.3,38.9,38.95,-0.5,8046
2024-10-07,2886,13417583,524640820,38.95,39.4,38.9,39.3,0.35,6817
2024-10-08,2886,21119387,820645938,38.95,39.15,38.7,38.85,-0.45,7551
2024-10-09,2886,10965767,425531616,38.95,39.1,38.65,38.65,-0.2,5015
2024-10-11,2886,11345572,441847568,38.8,39.2,38.75,38.8,0.15,5119
2024-10-14,2886,7822776,304755694,39.0,39.15,38.8,38.9,0.1,4996
2024-10-15,2886,22232229,871607326,39.0,39.4,38.9,39.3,0.4,8789
2024-10-16,2886,16490550,643937012,38.9,39.25,38.9,39.1,-0.2,6812
2024-10-17,2886,8446912,332159323,39.0,39.5,39.0,39.45,0.35,4258
2024-10-18,2886,19084482,756754790,39.6,39.8,39.45,39.8,0.35,8176
2024-10-21,2886,13425443,528967928,39.9,39.9,39.2,39.3,-0.5,14797
2024-10-22,2886,14044835,551546043,39.3,39.4,39.05,39.4,0.1,6997
2024-10-23,2886,12379824,482525393,39.3,39.3,38.8,38.9,-0.5,7569
2024-10-24,2886,15121991,587442036,38.9,39.1,38.75,38.85,-0.05,4535
2024-10-25,2886,5647468,219974708,39.0,39.15,38.85,38.9,0.05,3463
2024-10-28,2886,8854961,346637458,39.0,39.25,38.9,39.25,0.35,4424
2024-10-29,2886,13931828,544485041,38.95,39.25,38.9,39.1,-0.15,5781
2024-10-30,2886,17434074,684248422,39.35,39.4,39.0,39.3,0.2,4072
2024-11-01,2886,25831541,1000322791,38.8,38.9,38.6,38.65,-0.65,12555
2024-11-04,2886,12152048,475861028,38.7,39.35,38.65,39.35,0.7,5394
2024-11-05,2886,10161896,399295468,39.1,39.4,39.05,39.4,0.05,7576
2024-11-06,2886,12706737,498067988,39.1,39.45,39.0,39.0,-0.4,6343
2024-11-07,2886,10497606,411065518,38.85,39.5,38.85,39.1,0.1,4851
2024-11-08,2886,10615216,416358135,39.4,39.45,39.1,39.1,0.0,6911
2024-11-11,2886,13877665,543812926,39.1,39.3,39.1,39.2,0.1,9819
2024-11-12,2886,24312995,951083669,38.8,39.35,38.8,39.15,-0.05,7300
2024-11-13,2886,18239623,714778750,38.9,39.4,38.85,39.3,0.15,7388
2024-11-14,2886,19672134,769072546,38.95,39.35,38.9,39.0,-0.3,10083
2024-11-15,2886,20269210,795566240,39.1,39.4,39.1,39.25,0.25,7411
2024-11-18,2886,22769220,901457913,39.3,39.75,39.3,39.7,0.45,9605
2024-11-19,2886,19715287,786026934,39.5,40.0,39.5,39.95,0.25,6812
2024-11-20,2886,17668528,705162622,39.65,40.0,39.6,39.95,0.0,9251
2024-11-21,2886,15664520,616392536,39.5,39.7,39.15,39.45,-0.5,15494
2024-11-22,2886,11144782,440981124,39.3,39.8,39.25,39.75,0.3,7627
2024-11-25,2886,77653900,3115247368,40.0,40.15,39.8,40.15,0.4,8955
2024-11-26,2886,15495397,618830133,39.9,40.1,39.65,39.95,-0.2,5726
2024-11-27,2886,19663154,790622732,39.95,40.55,39.9,40.05,0.1,8444
2024-11-28,2886,16900861,676084421,40.1,40.25,39.85,39.85,-0.2,7346
2024-11-29,2886,22112139,879033761,39.6,40.0,39.45,39.75,-0.1,9181
2024-12-02,2886,21385247,847539301,39.8,40.05,39.4,39.45,-0.3,13211
2024-12-03,2886,15720005,629112928,39.7,40.2,39.5,40.2,0.75,6767
2024-12-04,2886,18074471,724161355,40.15,40.2,39.8,40.2,0.0,5253
