date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,1326,7528608,375548626,50.5,50.6,49.55,49.75,-0.65,5278
2024-07-02,1326,13369411,652503523,49.5,49.5,48.5,48.55,-1.2,9600
2024-07-03,1326,10862162,525961163,48.6,48.9,48.05,48.55,0.0,6319
2024-07-04,1326,13471483,663308818,48.7,49.7,48.65,49.4,0.85,5630
2024-07-05,1326,7855079,384964506,49.45,49.5,48.85,49.2,-0.2,5131
2024-07-08,1326,8106949,399128353,49.0,49.55,48.95,49.15,-0.05,4098
2024-07-09,1326,12041419,585808721,49.35,49.4,48.35,48.5,-0.65,6600
2024-07-10,1326,14317598,675863337,47.6,47.65,47.0,47.05,0.0,7656
2024-07-11,1326,12243080,579434750,47.5,47.7,46.85,47.7,0.65,5252
2024-07-12,1326,15363123,750107796,47.8,49.45,47.3,48.65,0.95,7535
2024-07-15,1326,7202148,348498998,49.1,49.15,48.05,48.3,-0.35,4638
2024-07-16,1326,7547638,365188767,48.55,48.75,48.2,48.4,0.1,3580
2024-07-17,1326,16508550,817959865,48.7,50.1,48.45,49.75,1.35,7883
2024-07-18,1326,22598711,1146232592,50.1,51.2,49.6,51.2,1.45,12174
2024-07-19,1326,11968246,603575131,51.0,51.3,49.9,50.5,-0.7,6812
2024-07-22,1326,9881104,495910859,50.2,50.6,49.7,50.5,0.0,4549
2024-07-23,1326,5720699,288183600,50.8,50.9,50.1,50.5,0.0,2775
2024-07-26,1326,5561473,278805019,50.4,50.4,49.95,50.0,-0.5,3591
2024-07-29,1326,7839932,392133859,50.5,50.6,49.8,49.9,-0.1,3072
2024-07-30,1326,4880046,241838137,50.1,50.2,49.0,49.85,-0.05,3166
2024-07-31,1326,4598038,229155652,49.85,50.2,49.4,49.85,0.0,1788
2024-08-01,1326,6212344,309699679,49.85,50.2,49.5,49.85,0.0,2887
2024-08-02,1326,8157613,399585155,49.15,49.45,48.7,49.1,-0.75,5323
2024-08-05,1326,12859282,594169114,47.85,47.85,45.4,46.0,-3.1,7717
2024-08-06,1326,10133719,470152971,46.5,47.5,44.7,47.4,1.4,5731
2024-08-07,1326,4607940,218551746,46.3,47.8,46.3,47.7,0.3,3867
2024-08-08,1326,8267245,380799830,46.5,46.5,45.7,45.85,-1.85,5367
2024-08-09,1326,6943121,324342636,46.0,47.25,46.0,46.7,0.85,3804
2024-08-12,1326,5175134,239917078,46.6,46.8,46.15,46.3,-0.4,3192
2024-08-13,1326,9991297,453757950,46.3,46.3,45.0,45.05,-1.25,6416
2024-08-14,1326,8901744,408284665,45.35,46.65,45.3,45.45,0.4,4319
2024-08-15,1326,7022797,317420470,46.0,46.0,44.9,45.05,-0.4,4490
2024-08-16,1326,7966306,361695352,45.75,45.9,45.05,45.05,0.0,4053
2024-08-19,1326,5372930,241629130,45.1,45.25,44.85,44.9,-0.15,3018
2024-08-20,1326,14715829,649521639,44.9,44.95,43.95,44.0,-0.9,8495
2024-08-21,1326,8372039,367288040,43.8,44.1,43.65,43.95,-0.05,4320
2024-08-22,1326,7725462,341669162,44.0,44.6,43.85,44.3,0.35,3644
2024-08-23,1326,11795076,511302703,44.1,44.1,43.05,43.2,-1.1,7984
2024-08-26,1326,11442908,502442107,43.2,44.25,43.2,44.05,0.85,5296
2024-08-27,1326,6082575,266689035,43.95,44.15,43.35,44.05,0.0,3107
2024-08-28,1326,2828539,124079596,43.95,44.1,43.7,43.95,-0.1,2048
2024-08-29,1326,4621649,202530533,43.5,44.05,43.5,43.7,-0.25,2714
2024-08-30,1326,11736537,514803885,43.7,44.3,43.7,43.8,0.1,3260
2024-09-02,1326,9139887,392291197,43.8,43.8,42.6,42.65,-1.15,6550
2024-09-03,1326,9473574,398344631,42.5,42.6,41.9,41.9,-0.75,5109
2024-09-04,1326,24298606,966814156,40.55,40.7,39.3,39.4,-2.5,14162
2024-09-05,1326,14625547,569539275,39.7,39.75,38.5,38.7,-0.7,9192
2024-09-06,1326,8165281,316884521,38.6,39.3,38.25,38.85,0.15,5064
2024-09-09,1326,19706914,739819339,38.0,38.05,37.35,37.35,-1.5,10840
2024-09-10,1326,18561078,685390695,37.35,37.4,36.7,36.75,-0.6,9861
2024-09-11,1326,9537806,356895463,36.85,37.8,36.8,37.5,0.75,5495
2024-09-12,1326,10789107,408214443,38.35,38.4,37.55,37.9,0.4,5561
2024-09-13,1326,13045604,510823125,37.8,39.95,37.8,39.4,1.5,7407
2024-09-16,1326,17974807,726989495,39.65,41.0,39.35,40.65,1.25,9893
2024-09-18,1326,11923400,487997198,40.9,41.3,40.55,40.65,0.0,7479
2024-09-19,1326,7429911,302267175,40.65,41.0,40.2,41.0,0.35,3962
2024-09-20,1326,13268343,546693373,41.1,41.6,40.8,41.2,0.2,5254
2024-09-23,1326,7707551,316070583,41.6,41.65,40.5,40.8,-0.4,4514
2024-09-24,1326,7047397,286885237,40.55,41.05,40.2,41.0,0.2,3493
2024-09-25,1326,10652235,443834775,41.5,41.95,41.15,41.95,0.95,6320
2024-09-26,1326,5504770,230550689,42.4,42.4,41.55,41.85,-0.1,3736
2024-09-27,1326,20867958,910423139,42.2,44.5,42.05,44.3,2.45,10022
2024-09-30,1326,13235958,581532512,43.85,44.5,43.45,43.45,-0.85,10606
2024-10-01,1326,6473258,279228536,43.45,43.5,42.7,43.35,-0.1,3845
2024-10-04,1326,12892631,568865403,43.05,45.45,43.05,43.35,0.0,6616
2024-10-07,1326,8967085,384999346,43.6,43.95,42.4,43.3,-0.05,4613
2024-10-08,1326,9368968,396248834,42.75,43.2,41.85,42.1,-1.2,4709
2024-10-09,1326,8205949,339575819,42.1,42.1,41.0,41.25,-0.85,3939
2024-10-11,1326,4368669,181321298,41.75,42.05,41.15,41.2,-0.05,2604
2024-10-14,1326,9891246,393606670,40.1,40.25,39.5,39.95,-1.25,5681
2024-10-15,1326,7134120,283729454,39.8,40.1,39.55,39.8,-0.15,3714
2024-10-16,1326,8998016,350745350,39.25,39.45,38.7,39.0,-0.8,5678
2024-10-17,1326,11092385,446163851,39.4,40.65,39.2,40.3,1.3,3846
2024-10-18,1326,5305713,213101557,40.1,40.5,39.9,40.1,-0.2,3137
2024-10-21,1326,10727181,420988954,40.5,40.5,38.85,38.9,-1.2,6167
2024-10-22,1326,4014764,155063128,38.9,38.95,38.4,38.65,-0.25,2805
2024-10-23,1326,4836776,186245608,38.75,39.05,38.3,38.3,-0.35,3223
2024-10-24,1326,5377087,207695642,38.3,38.95,38.1,38.55,0.25,2958
2024-10-25,1326,3510625,135564861,38.85,39.05,38.4,38.5,-0.05,2281
2024-10-28,1326,7311372,287083915,38.8,39.75,38.65,39.65,1.15,4016
2024-10-29,1326,7018403,272941675,39.3,39.5,38.6,38.9,-0.75,4152
2024-10-30,1326,4747834,183983772,39.2,39.3,38.6,38.7,-0.2,2543
2024-11-01,1326,9051874,345802451,38.45,38.6,37.8,38.4,-0.3,5165
2024-11-04,1326,2990055,114748701,38.15,38.5,38.15,38.4,0.0,2013
2024-11-05,1326,5912942,226639014,38.4,38.7,38.05,38.4,0.0,3632
2024-11-06,1326,6003949,230877018,38.3,38.85,38.15,38.35,-0.05,3533
2024-11-07,1326,7320216,286306462,38.15,39.5,38.15,39.35,1.0,4182
2024-11-08,1326,7626826,295335671,39.5,39.5,38.3,38.3,-1.05,5502
2024-11-11,1326,11264325,419160587,38.1,38.1,36.9,37.15,-1.15,7036
2024-11-12,1326,11894990,432494685,36.8,36.8,36.1,36.1,-1.05,7091
2024-11-13,1326,14156619,504210422,35.9,36.0,35.4,35.55,-0.55,7876
2024-11-14,1326,11498766,401581904,35.45,35.6,34.65,34.8,-0.75,6286
2024-11-15,1326,9601533,340591307,34.8,36.2,34.8,35.4,0.6,4158
2024-11-18,1326,17455939,633292084,35.9,36.9,35.75,36.25,0.85,8012
2024-11-19,1326,6729668,242760533,36.25,36.45,35.55,36.45,0.2,4475
2024-11-20,1326,7548732,269937363,36.15,36.25,35.5,35.65,-0.8,4315
2024-11-21,1326,7542941,264726341,35.35,35.45,34.9,35.2,-0.45,3820
2024-11-22,1326,5726424,202316901,35.45,35.9,35.2,35.2,0.0,3204
2024-11-25,1326,16673214,601770862,35.8,36.2,35.6,36.2,1.0,3396
2024-11-26,1326,7541957,270914163,36.15,36.65,35.6,35.65,-0.55,3947
2024-11-27,1326,7256594,255361992,35.8,35.8,34.8,34.8,-0.85,4208
2024-11-28,1326,11429783,394873044,34.95,35.05,34.25,34.8,0.0,4961
