date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,1216,4114955,334846625,81.3,82.0,80.9,81.5,0.2,3882
2024-07-02,1216,8141817,665685295,81.0,82.3,80.9,82.0,0.5,3421
2024-07-03,1216,10161018,836616886,82.0,82.9,81.7,82.0,0.0,5476
2024-07-04,1216,10489153,881313062,82.9,84.7,82.6,84.2,2.2,7300
2024-07-05,1216,5806806,489616746,84.5,85.1,83.5,84.2,0.0,6651
2024-07-08,1216,7216323,604391919,84.1,84.2,83.3,83.7,-0.5,7199
2024-07-09,1216,8013845,676710358,84.0,85.0,83.5,84.7,1.0,5256
2024-07-10,1216,6593969,557876216,85.1,85.1,84.1,84.7,0.0,4606
2024-07-11,1216,6357131,542831937,84.5,85.8,84.3,85.5,0.8,4525
2024-07-12,1216,7178657,614848118,85.5,86.5,85.0,85.7,0.2,5414
2024-07-15,1216,6900547,594420084,86.0,86.8,85.6,86.5,0.8,6090
2024-07-16,1216,14965031,1276217710,86.5,86.5,84.5,84.9,-1.6,15019
2024-07-17,1216,10814143,914667826,85.0,85.4,84.0,84.8,-0.1,5324
2024-07-18,1216,15282762,1330383302,85.0,88.0,84.7,87.4,2.6,7968
2024-07-19,1216,13066844,1133095175,86.5,87.8,85.4,86.9,-0.5,7912
2024-07-22,1216,14752235,1294840569,87.0,88.3,86.1,88.3,1.4,9002
2024-07-23,1216,12098547,1075747435,90.1,90.4,87.9,88.5,0.2,11837
2024-07-26,1216,19355311,1702125384,92.2,92.8,85.8,87.2,-1.3,11747
2024-07-29,1216,15261206,1314174047,88.2,88.4,85.0,86.4,-0.8,8117
2024-07-30,1216,9327192,794291867,86.8,86.8,83.9,85.7,-0.7,6012
2024-07-31,1216,12904371,1093892266,85.0,85.8,83.9,83.9,-1.8,6336
2024-08-01,1216,38571858,3052043503,78.5,80.3,78.4,79.9,0.0,26881
2024-08-02,1216,17302045,1365614342,79.0,79.9,78.5,79.2,-0.7,10092
2024-08-05,1216,23235645,1782279443,77.7,78.0,75.5,77.2,-2.0,13153
2024-08-06,1216,19665827,1541695009,78.2,79.0,77.0,78.9,1.7,8787
2024-08-07,1216,11247121,879667974,78.0,78.8,77.7,78.3,-0.6,9156
2024-08-08,1216,17216961,1364543968,77.8,80.2,77.5,79.2,0.9,7520
2024-08-09,1216,14132568,1150317637,79.7,82.5,79.6,81.8,2.6,8386
2024-08-12,1216,8020819,654494842,82.6,83.2,81.0,82.0,0.2,9312
2024-08-13,1216,7303115,601689225,82.9,83.0,81.8,82.7,0.7,3777
2024-08-14,1216,10007971,828334413,83.0,83.4,82.2,82.7,0.0,5148
2024-08-15,1216,7222419,589722468,83.6,83.6,80.8,81.0,-1.7,5277
2024-08-16,1216,9094346,741191508,82.2,82.5,80.9,81.2,0.2,4788
2024-08-19,1216,5696760,459741501,81.8,81.8,80.2,80.5,-0.7,3851
2024-08-20,1216,9048335,729253436,80.7,81.2,79.9,80.6,0.1,4209
2024-08-21,1216,6951027,564959057,81.1,81.7,80.8,81.7,1.1,4238
2024-08-22,1216,6588087,538512273,81.7,82.0,80.9,82.0,0.3,3310
2024-08-23,1216,4958157,405002123,81.8,82.1,81.3,81.8,-0.2,2004
2024-08-26,1216,7040027,574230660,81.8,82.2,81.1,81.5,-0.3,3370
2024-08-27,1216,13124210,1084769944,81.2,83.4,81.0,83.4,1.9,5827
2024-08-28,1216,8144465,672016373,83.3,83.3,82.2,82.8,-0.6,4368
2024-08-29,1216,9954101,821818339,83.4,83.5,82.2,82.2,-0.6,4745
2024-08-30,1216,17141753,1413783499,82.7,83.0,81.9,82.6,0.4,4383
2024-09-02,1216,6413525,526738940,82.8,82.9,81.6,82.4,-0.2,3703
2024-09-03,1216,6834476,566039693,82.1,83.4,82.0,83.1,0.7,2599
2024-09-04,1216,14414832,1180214993,81.1,82.9,80.6,81.7,-1.4,6985
2024-09-05,1216,7350097,604733920,82.3,82.9,81.9,82.1,0.4,3497
2024-09-06,1216,9545343,796459792,82.6,84.2,81.9,83.6,1.5,5000
2024-09-09,1216,10510197,875714770,81.8,84.3,81.8,84.0,0.4,6139
2024-09-10,1216,12486962,1076797903,84.0,87.3,83.7,87.0,3.0,7101
2024-09-11,1216,7960335,690607927,87.3,88.0,86.1,86.1,-0.9,6558
2024-09-12,1216,10759241,938836274,86.6,87.8,86.1,87.5,1.4,7103
2024-09-13,1216,6871665,598469998,87.5,87.8,86.6,87.2,-0.3,4992
2024-09-16,1216,6933193,598607756,87.7,87.8,85.8,86.5,-0.7,9261
2024-09-18,1216,8028791,697080027,86.5,87.5,85.8,86.8,0.3,4883
2024-09-19,1216,9164389,799964444,86.8,87.8,86.4,87.8,1.0,6250
2024-09-20,1216,10296025,908234682,87.8,88.7,87.5,88.1,0.3,4742
2024-09-23,1216,4759263,418029105,88.2,88.3,87.4,87.9,-0.2,8090
2024-09-24,1216,7329648,652926075,87.8,89.5,87.8,89.5,1.6,5032
2024-09-25,1216,7268290,650445766,90.1,90.1,88.9,89.7,0.2,6194
2024-09-26,1216,7877094,707269726,90.6,90.6,88.8,89.6,-0.1,4974
2024-09-27,1216,7152025,634461621,90.2,90.2,88.0,88.7,-0.9,15880
2024-09-30,1216,12851143,1128582598,89.7,89.7,87.2,87.2,-1.5,10803
