date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2024-07-01,2912,615430,169607584,275.5,276.0,274.5,276.0,2.5,1926
2024-07-02,2912,1196481,327445974,274.5,276.0,273.0,273.5,-2.5,8082
2024-07-03,2912,1973545,537892554,273.5,275.0,271.5,271.5,-2.0,1324
2024-07-04,2912,1172600,322942661,274.0,277.0,273.0,277.0,5.5,1478
2024-07-05,2912,1025309,285332016,277.5,279.0,277.0,279.0,2.0,1456
2024-07-08,2912,1053222,294290755,277.5,280.0,277.5,280.0,1.0,1653
2024-07-09,2912,1433332,404386026,279.5,283.0,279.5,282.5,2.5,2062
2024-07-10,2912,827306,232675461,282.0,283.0,279.5,279.5,-3.0,1624
2024-07-11,2912,994761,279257631,280.0,282.0,278.5,281.0,1.5,1567
2024-07-12,2912,1213451,341767836,282.0,283.0,280.5,282.0,1.0,1336
2024-07-15,2912,1205971,340521299,282.0,283.0,281.5,283.0,1.0,1526
2024-07-16,2912,1704198,478670838,281.5,282.5,279.5,280.5,-2.5,3238
2024-07-17,2912,1933926,543011210,280.5,282.0,279.5,279.5,-1.0,1683
2024-07-18,2912,2433055,685795027,280.5,284.0,280.0,281.5,2.0,3140
2024-07-19,2912,2402114,676213581,280.5,282.0,279.5,282.0,0.5,3178
2024-07-22,2912,1640601,461514530,282.0,282.0,279.5,282.0,0.0,2615
2024-07-23,2912,1369791,386921924,282.0,283.0,281.5,283.0,1.0,1484
2024-07-26,2912,2449219,690365056,281.0,283.0,280.5,282.5,-0.5,2031
2024-07-29,2912,2073119,584204935,283.0,283.0,281.0,282.0,-0.5,1992
2024-07-30,2912,1803961,499684090,282.0,282.0,275.0,276.5,-5.5,17959
2024-07-31,2912,3059929,848217537,276.0,278.5,274.0,277.5,1.0,5158
2024-08-01,2912,2234270,606250799,268.0,273.0,268.0,273.0,0.0,61781
2024-08-02,2912,1287823,350430022,271.5,273.5,270.5,273.5,0.5,5865
2024-08-05,2912,2405405,648797567,268.5,272.5,265.0,272.5,-1.0,17823
2024-08-06,2912,3386730,934899854,273.0,278.5,272.5,278.5,6.0,5127
2024-08-07,2912,2470120,689519414,276.0,280.5,276.0,280.5,2.0,5216
2024-08-08,2912,1982075,554783859,279.0,281.5,278.0,279.0,-1.5,2723
2024-08-09,2912,3545353,1000824770,278.0,284.0,278.0,284.0,5.0,4234
2024-08-12,2912,1426631,400972036,281.5,282.5,280.0,281.5,-2.5,3012
2024-08-13,2912,1633611,460025149,282.0,283.0,280.0,283.0,1.5,2244
2024-08-14,2912,1534079,433554370,283.0,283.5,281.0,283.5,0.5,2529
2024-08-15,2912,1289150,361995450,285.0,286.0,277.5,278.0,-5.5,21567
2024-08-16,2912,1532767,425097000,281.0,281.0,275.0,278.0,0.0,28223
2024-08-19,2912,841102,232904569,278.0,279.5,275.0,277.0,-1.0,12195
2024-08-20,2912,1144336,318787251,278.0,280.0,276.5,280.0,3.0,1611
2024-08-21,2912,807521,225151453,280.5,281.0,276.5,278.5,-1.5,2751
2024-08-22,2912,973183,272302845,278.5,281.0,277.0,280.5,2.0,2001
2024-08-23,2912,966123,272191752,281.0,282.5,281.0,282.0,1.5,1069
2024-08-26,2912,2201469,625833412,282.0,286.0,281.5,286.0,4.0,2688
2024-08-27,2912,2764140,798441374,285.0,291.5,284.5,291.5,5.5,3975
2024-08-28,2912,1188078,341290205,291.5,291.5,285.5,287.0,-4.5,10036
2024-08-29,2912,1374464,394534303,285.5,289.5,285.5,286.5,-0.5,3707
2024-08-30,2912,2659001,749828202,286.5,287.0,281.5,281.5,-5.0,16136
2024-09-02,2912,1125628,318055772,283.0,284.5,280.0,284.5,3.0,5631
2024-09-03,2912,890306,252294786,284.0,285.0,282.5,282.5,-2.0,3663
2024-09-04,2912,1750864,489018054,278.5,282.0,277.0,279.5,-3.0,12422
2024-09-05,2912,1770311,501719552,281.0,285.0,280.5,283.5,4.0,3077
2024-09-06,2912,1156724,328290922,283.5,285.5,280.5,285.0,1.5,2514
2024-09-09,2912,1694658,479769618,280.0,286.0,280.0,286.0,1.0,5187
2024-09-10,2912,1828230,526954476,286.0,289.5,284.5,289.0,3.0,2220
2024-09-11,2912,1374214,395210933,289.0,289.5,285.5,287.0,-2.0,2741
2024-09-12,2912,4301089,1257858635,292.0,295.0,288.5,293.0,6.0,4466
2024-09-13,2912,1237026,359137643,291.5,293.0,289.5,290.5,-2.5,2501
2024-09-16,2912,1119532,326755325,290.5,293.0,290.0,292.0,1.5,2390
2024-09-18,2912,1796275,525106297,292.0,294.5,290.5,292.0,0.0,1767
2024-09-19,2912,1778210,524483612,293.5,296.0,292.5,295.5,3.5,1999
2024-09-20,2912,2471531,735532155,296.5,298.0,295.0,298.0,2.5,2053
2024-09-23,2912,939550,279312252,298.0,298.5,295.5,298.0,0.0,1916
2024-09-24,2912,2207002,665501661,298.0,303.0,296.0,303.0,5.0,2764
2024-09-25,2912,2183478,662549352,305.0,306.0,302.5,303.0,0.0,3196
